id_table,track_id,track_album_id
0,6f807x0ima9a1j3VPbc7VN,2oCs0DGTsRO98Gh5ZSl2Cx
1,0r7CVbZTWZgbTCYdfa2P31,63rPSO264uRjW1X5E6cWv6
2,1z1Hg7Vb0AhHDiEmnDE79l,1HoSmj2eLcsrR0vE9gThr4
3,75FpbthrwQmzHlBJLuGdC7,1nqYsOef1yKKuGOVchbsk6
4,1e8PAfcKUYoKkxPhrHqw4x,7m7vv9wlQ4i0LFuJiE2zsQ
5,7fvUMiyapMsRRxr07cU8Ef,2yiy9cd2QktrNvWC2EUi0k
6,2OAylPUDDfwRGfe0lYqlCQ,7INHYSeusaFlyrHSNxm8qH
7,6b1RNvAcJjQH73eZO4BLAB,6703SRPsLkS4bPtMFFJes1
8,7bF6tCO3gFb8INrEDcjNT5,7CvAfGvq4RlIwEbT9o8Iav
9,1IXGILkPm0tOCNeq00kCPa,4QxzbfSsVryEQwvPFEV5Iu
10,3eFJI470ALf1EYjywPRsJy,49bXZtlI5kQSqQMSCnSaWO
11,3iJeF2izF1QcpCgUc97BLl,6e6RVFWdZaoTiLAZOCMnps
12,6e0CvGZf7CouOpYF8toXHC,2R66I0nzp3NnuUlzIGWQ5P
13,3eLdNmnRWr9gIyBcqTSSti,7Al4TIo0c5twNLfdOh1y1u
14,55nMnifaQWKe3f9cbwOXwx,2vx3BtBMn8Ed3ygEg1OT2t
15,1EJgymgJHcjSOGSHcYaxvW,1imXAvLuowvPYIsFMYUPY0
16,5WaXMQMlQpq8pwIdaFP43L,4lXBBbiEgwTzcfAkqdXJV1
17,3TjLsDgL0bTbSQIF6M5Ki8,19z3vpbBT09lZ54neDfuFL
18,0GfS3y8Jd7SHWd9R51s7Fo,2LDzwN4iZ4qbSA32E9CG4Q
19,2v3DuCVBbopteJqdM7aKQK,097kyycr5ZuLS2cPwwUHwt
20,4QAUGy6k7c3IOAhgWz52r7,37bCTD5iLWMpDcBanNkkXB
21,3Ciaf6WgvG95TGRGxQ1yO8,5r998zJ0MNYb2TTxyQmjxT
22,1mC2UjWt25Oixtqu7C6suL,1WhPuMFm5VaTJqe9rl3C5Q
23,2wenGTypSYHXl1sN1pNC7X,6Ol6C42O7AWnTkj8pHMHWv
24,4sqABRRGU7CzcHXCyxUzFw,5vf16sRhXB2f3sS5kteU2T
25,5dy3WUywjZcalTno1io8TQ,1LTVUVJQ9wNArrbm02ZOVL
26,2M9GeaCQXrV12J0wzBxIwi,13pvchQvJxxpvvtsasA4NG
27,1zzOMDmkRZy0g9f4JTAZKn,5bMicFMWsZlRZNTDq9h3oA
28,4OFFY6L5ywYM1TwhXX69wQ,4pl2838fY2YPaqiT2yWuMo
29,1hr5Y2i4NlE3LPvQZ9Q5Ao,6MhbDWEsAP9Xsgoj0TuEOc
30,1aT7vltGhkjyMI3F3aO3A4,2Ryw2kkGP0VecGM9b4kjgo
31,4YaU1EjXIkdRdkOI4cCZys,249wM0bMES3O4nFuwARq9i
32,0Fc9QSMX6fgEBgDjUax7t7,6rWRg6yLGcLdG0IRaCB9LN
33,7AasLZ4TYgh7dbJXZxcZVE,6gKLNSKPll9DAG5xiygMxD
34,7p4jpmyBnOpqQ3rSGJzZ7w,4H87kr1cjR2CSUkTFopYEK
35,4sLtguRBis05qfsBgJ1IdN,3E3l9Ae226bVoSwoPNuwWv
